ir_led	red_led spo2	bpm
13851	13847	62
14297	13864	62
14213	13866	62
13824	14292	62
13826	14267	62
13802	14240	62
13622	16695	62
13877	14231	62
13864	14184	62
13793	14175	62
13856	14229	62
13894	14217	62
13857	14278	62
13833	14177	62
13861	14267	62
13825	14257	62
13922	14134	62
10295	34102	62
13858	14253	62
13899	14134	62
567	47926	62
13877	58935	62
38454	15159	62
13937	14134	62
10295	13847	62
14289	13878	62
8247	38198	62
13862	14116	62
13872	14183	62
13796	14134	62
9527	47926	62
14391	46134	62
9270	13915	62
14183	13893	62
13883	14244	62
13832	14207	62
13800	14161	62
13815	14247	62
13882	14174	62
13833	14222	62
13887	13905	62
13918	14217	62
13902	14225	62
13871	13872	62
14183	13895	62
13809	14238	62
13836	14231	62
13920	14148	62
13828	14134	62
17719	46646	62
24631	36918	62
13834	14181	62
13959	14211	62
13878	14903	62
24118	16951	62
13840	14249	62
13911	14242	62
13794	14268	62
13799	14237	62
13913	14214	62
13877	61751	62
40502	29751	62
44086	17463	62
13878	1079	62
55094	13920	62
14224	13810	62
14240	13878	62
2615	25909	62
62006	7223	62
13861	14237	62
13851	14218	62
13878	22327	62
41526	16437	62
13828	14260	62
13873	14192	62
13939	14186	62
13796	13940	62
13854	14230	62
13872	14134	62
13920	14187	62
13906	14222	62
13872	14240	62
13895	14175	62
13957	14251	62
13876	14242	62
13878	6967	62
13854	14313	62
13836	14189	62
13872	13828	62
13878	12599	62
13878	29495	62
13898	14169	62
13855	14134	62
13813	14231	62
13904	14231	62
13778	14344	62
13828	14174	62
13818	14243	62
13770	14208	62
13934	14181	62
13839	14286	62
13893	14281	62
13873	14251	62
13885	14237	62
13827	14267	62
13924	14127	62
13841	14134	62
18999	22838	62
20279	13822	62
14134	4663	62
52534	19767	62
33589	13828	62
14174	13809	62
14312	13881	62
14280	13864	62
13862	14238	62
13878	17718	62
13889	14270	62
13851	14252	62
13849	14214	62
13857	14134	62
25653	59703	62
13622	1847	62
13844	14232	62
13868	14134	62
4663	52534	62
16695	42550	62
13893	14133	62
13957	14216	62
13866	14210	62
13855	14198	62
13853	13954	62
14134	8503	62
55094	9015	62
21558	7991	62
13871	14244	62
13931	14229	62
13888	14259	62
13998	14134	62
5175	38966	62
13836	14239	62
13845	14163	62
13843	14166	62
13908	14282	62
13912	14228	62
13918	14144	62
13878	7479	62
25654	13857	62
14295	13890	62
13878	7990	62
7991	13884	62
14225	13878	62
13783	14227	62
13912	13998	62
14283	13880	62
13947	13836	62
14239	13861	62
14146	13833	62
13910	14219	62
13838	14235	62
13930	13918	62
13848	14235	62
13821	14134	62
13847	14200	62
13791	14191	62
13878	15415	62
37174	4407	62
